PRACTICE_CODE,TOTAL_ITEMS,TOTAL_QUANTITY,TOTAL_COST,REPORT_MONTH
P82034,11,28,8.56974,December
P82034,4,56,6.18294,April
P82034,12,28,10.47075,January
P82034,1,84,2.59289,February
P82034,10,56,17.32726,September
P82034,2,84,5.52236,May
P82034,4,112,14.70977,March
P82034,12,56,22.13905,January
P82034,9,28,8.35794,September
P82034,1,30,0.91931,October
P82034,1,28,0.96321,February
P82034,1,56,1.80468,March
P82034,3,30,3.17866,July
P82034,2,28,2.95488,December
P82034,1,84,4.19817,May
P82034,1,30,1.47094,April
P82034,2,56,3.54025,July
P82034,4,28,3.56505,May
P82034,8,28,7.42928,February
P82034,1,112,3.67744,November
P82034,4,56,7.37968,June
P82034,2,84,5.52236,June
P82034,1,84,2.78923,June
P82034,20,28,18.7602,December
P82034,6,56,11.18172,January
P82034,1,18,0.75752,October
P82034,9,56,18.11892,June
P82034,3,84,9.04086,May
P82034,21,28,21.26894,December
P82034,3,28,3.20671,December
P82034,1,14,0.64533,September
P82034,3,56,6.37623,May
P82034,5,28,4.7368,May
P82034,1,56,2.10671,February
P82034,2,84,6.30773,February
P82034,3,28,3.17866,May
P82034,3,56,256.85191,December
P82034,1,28,4.39736,April
P82034,1,56,8.78232,February
P82652,3,56,19.78355,December
P82652,14,28,46.24841,February
P82652,1,84,9.88557,March
P82652,1,84,6.8563,September
P82652,3,56,13.72501,February
P82652,13,28,29.81812,November
P82652,8,7,4.6618,November
P82652,6,56,11.51831,February
P82652,2,112,7.65407,February
P82652,17,28,16.423,December
P82652,3,84,8.62013,June
P82652,4,7,1.42196,February
P82652,8,28,9.2992,May
P82652,2,84,6.9248,April
P82652,2,56,4.6248,December
P82652,8,28,11.09433,June
P82034,1,56,2.16281,April
P82034,6,28,6.52562,March
P82034,4,56,10.89513,December
P82034,4,28,5.47237,November
P82034,3,56,11.14452,November
P82034,3,28,5.59086,May
P82034,9,28,11.89209,December
P82034,9,56,23.67258,July
P82034,1,14,0.76687,September
P82034,4,56,11.04473,December
P82034,1,84,4.13557,March
P82034,9,28,12.48112,August
P82034,12,28,23.261,March
P82034,5,56,19.32217,September
P82034,2,84,11.5809,September
P82034,1,56,8.76362,June
P82034,1,28,8.33354,February
P82034,1,28,7.85671,December
P82034,3,56,47.10307,February
P82034,3,56,82.44454,August
P82034,1,100,6.59452,June
P82034,1,1,3.89248,October
P82034,4,1,9.10001,December
P82034,6,28,58.97686,November
P82034,1,28,3.19126,August
P82034,1,56,19.64655,September
P82652,11,14,19.23437,December
P82652,5,56,32.69209,July
P82652,10,28,32.75409,February
P82652,4,42,20.04635,March
P82652,53,28,33.36209,July
P82652,9,7,2.44209,August
P82652,6,56,7.47928,July
P82652,4,84,7.45448,October
P82652,7,56,9.11851,April
P82652,39,28,25.64336,November
P82652,4,84,7.79107,August
P82652,5,28,39.84453,August
P82034,1,56,6.69736,January
P82652,1,56,8.84777,December
P82652,3,28,25.67379,April
P82652,6,28,51.34759,July
P82652,2,56,34.20692,January
P82652,1,84,29.09899,July
P82652,3,28,29.12379,February
P82652,1,56,19.40346,September
P82652,2,28,21.56627,October
P82034,1,28,5.65021,May
P82034,1,56,11.6059,December
P82652,6,28,21.78416,October
P82652,4,7,4.93741,August
P82652,2,56,18.01342,November
P82652,3,28,13.52867,April
P82652,5,28,26.61485,September
P82034,1,28,2.86403,February
P82034,1,56,7.82866,July
P82034,2,28,7.56057,February
P82034,1,56,7.54817,December
P82034,1,84,11.31606,March
P82034,2,56,30.72887,August
P82034,3,28,23.06526,October
P82034,1,60,32.49005,September
P82034,1,60,3.65874,December
P82652,1,56,3.51565,September
P82652,1,28,6.65061,October
P82034,1,280,4.88069,September
P82034,1,42,7.90061,March
P82034,2,30,11.35082,May
P82034,1,60,11.22907,January
P82034,3,28,21.66282,February
P82034,2,30,15.67033,May
P82034,1,60,2.45264,September
P82034,1,60,3.19126,December
P82034,3,56,21.07379,July
P82034,4,56,82.62523,November
P82034,1,56,42.8494,March
P82034,1,60,45.80672,September
P82034,1,60,45.80672,April
P82034,5,56,5.95225,January
P82034,1,28,0.60142,June
P82034,3,28,1.94452,June
P82034,3,56,3.85184,October
P82034,1,84,1.91972,February
P82034,1,112,2.55549,March
P82034,1,56,1.37744,May
P82034,1,30,50.50022,February
P82034,3,28,141.40309,April
P82034,1,84,141.37829,June
P82034,2,56,188.51266,August
P82034,25,28,1178.35912,January
P82652,12,56,598.22702,June
P82652,4,14,50.18945,August
P82652,1,28,24.98233,September
P82652,1,168,149.23195,July
P82652,25,56,1243.80629,March
P82652,2,112,198.98421,July
P82652,4,7,1.08537,August
P82652,2,84,3.89553,December
P82652,74,28,48.65664,November
P82652,13,56,16.93438,October
P82652,3,56,4.13232,July
P82652,16,28,11.11873,November
P82652,4,7,1.12277,September
P82652,1,84,2.05996,December
P82652,1,56,1.67663,January
P82652,7,28,5.9116,January
P82652,37,28,46.46816,January
P82652,9,56,22.49453,November
P82652,1,84,3.74289,February
P82652,12,7,5.05124,March
P82034,1,28,9.10021,April
P82034,1,56,18.18801,August
P82034,3,56,153.18359,December
P82034,1,56,51.0612,October
P82034,5,28,4.83029,April
P82034,1,56,1.91972,September
P82034,2,84,5.74675,July
P82034,2,28,2.47439,January
P82034,1,56,3.35956,May
P82034,2,28,3.37196,November
P82034,3,56,4.91769,June
P82034,6,28,4.95489,January
P82652,1,180,107.83194,August
P82652,1,336,201.37181,May
P82652,1,84,1.83557,May
P82652,13,28,8.06161,November
P82652,2,56,2.4557,August
P82652,1,21,0.72947,August
P82652,35,56,58.02751,July
P82652,16,7,5.08946,January
P82652,180,28,150.3296,December
P82652,15,84,37.2104,April
P82652,87,28,79.16663,August
P82652,9,84,24.34575,February
P82652,8,7,2.69432,August
P82652,23,56,41.57302,February
P82652,38,28,48.43463,March
P82652,7,56,17.75754,February
P82652,4,7,1.72115,July
P82652,1,84,3.79899,April
P82034,1,28,12.16688,February
P82652,1,28,5.75021,April
P82034,1,56,42.44087,July
P82034,3,28,4.52501,April
P82034,2,28,3.39065,January
P82034,1,56,1.34004,June
P82034,3,28,2.02866,June
P82034,33,28,23.85799,March
P82034,11,84,23.58519,September
P82034,13,56,18.636,April
P82034,1,30,0.98191,September
P82034,20,56,32.78459,December
P82034,29,28,23.94863,September
P82034,4,84,9.81058,June
P82034,1,28,1.26525,December
P82034,6,1,249.70862,December
P82034,1,2,83.22381,May
P82034,2,1,83.23621,January
P82034,2,1,83.23621,March
P82034,2,1,46.3988,September
P82034,24,2,67.61469,April
P82034,54,1,76.40133,November
P82034,1,100,38.57948,March
P82034,1,40,15.43923,October
P82034,1,100,44.23599,December
P82034,2,90,79.82726,June
P82034,1,2,11.79289,December
P82034,2,1,11.80529,October
P82034,1,1,3.10712,August
P82034,1,1,1.87297,December
P82034,1,2,3.73354,April
P82034,9,2,25.35551,June
P82034,1,3,4.21972,June
P82034,14,1,19.80775,November
P82034,1,1,1.37744,October
P82034,1,2,2.74248,May
P82652,2,1,11.28171,April
P82034,1,3,98.4917,April
P82034,1,1,32.83883,May
P82034,1,2,65.66526,January
P82034,1,2,15.53273,December
P82034,1,1,5.21078,November
P82034,1,1,5.21078,January
P82034,2,30,65.22888,December
P82034,1,30,31.33355,September
P82034,3,30,97.84333,September
P82034,2,1,43.03294,June
P82034,1,1,21.51647,November
P82652,6,30,144.80615,January
P82034,1,1,25.72379,August
P82034,1,112,10.57744,May
P82034,1,112,5.54736,December
P82652,7,1,212.79011,April
P82034,2,1,60.79718,July
P82034,2,30,60.79718,February
P82652,8,1,55.5984,April
P82652,1,1,27.42542,November
P82652,1,1,27.42542,February
P82652,1,1,27.42542,September
P82034,4,1,29.48213,November
P82034,11,1,177.13361,June
P82034,3,2,96.58113,March
P82034,1,1,16.10306,June
P82652,1,2,6.9311,April
P82652,8,1,27.774,May
P82652,24,1,166.79521,November
P82652,1,2,13.8872,January
P82652,6,1,90.78418,April
P82652,5,1,76.21446,January
P82652,1,1,26.19127,April
P82034,1,1,13.33557,October
P82034,1,1,13.33557,July
P82034,1,1,13.33557,September
P82034,1,2,52.37014,April
P82034,2,1,52.38254,July
P82034,1,2,52.37014,September
P82034,2,1,52.38254,July
P82034,1,1,16.33679,November
P82034,1,1,16.33679,March
P82034,3,2,131.58602,May
P82034,1,2,54.83843,February
P82034,1,1,27.42542,March
P82034,2,1,42.00449,August
P82034,2,1,52.98091,February
P82034,1,2,52.96851,March
P82652,1,1,28.03314,June
P82034,2,1,28.05489,March
P82034,4,1,74.80897,November
P82652,3,1,37.90306,January
P82034,1,1,27.59371,February
P82034,3,1,61.74453,March
P82034,8,1,332.94482,September
P82034,5,28,5.9055,April
P82034,2,56,4.6996,November
P82034,1,30,4.09817,December
P82034,2,56,3.08578,July
P82034,2,28,1.66464,November
P82034,3,30,2.3372,December
P82652,1,300,7.66037,March
P82652,1,28,3.39695,July
P82652,1,300,5.24817,July
P82652,1,150,2.63029,September
P82034,2,56,3.74025,August
P82652,19,28,14.92585,March
P82652,1,56,1.45874,October
P82652,3,7,0.84208,January
P82652,3,200,48.16892,July
P82652,1,150,12.14533,October
P82034,2,28,1.70204,September
P82034,1,56,1.58029,December
P82034,1,56,2.05061,February
P82034,2,28,2.06301,January
P82034,1,56,31.97867,July
P82652,10,168,224.20536,December
P82652,2,30,8.19066,April
P82652,8,112,119.82606,December
P82652,1,60,8.07826,September
P82652,7,120,111.60878,November
P82652,1,56,16.67053,September
P82034,1,120,17.75793,September
P82034,1,30,14.40143,September
P82034,1,60,28.79046,November
P82034,1,30,14.31728,December
P82034,2,30,116.89475,October
P82034,1,60,116.88235,December
P82034,1,60,37.84087,August
P82652,1,112,53.83518,August
P82034,1,56,5.22947,April
P82034,5,28,13.10469,November
P82034,1,42,1.89817,July
P82034,3,7,1.23476,August
P82034,3,7,0.98232,November
P82034,10,14,5.33132,October
P82034,4,28,3.41545,November
P82034,8,28,6.9805,June
P82034,8,14,4.33985,December
P82652,1,84,14.30509,January
P82652,2,28,9.537,May
P82034,1,28,32.3433,June
P82034,2,84,7.68578,January
P82034,1,28,5.12378,February
P82034,1,28,0.79777,December
P82034,1,28,0.95671,March
P82034,2,8,0.65488,September
