PRESCRIPTION_CODE,PRACTICE_CODE,BNF_CODE,QUANTITY,ITEMS,ACTUAL_COST
0,P82034,0205051L0AAABAB,28,11,8.56974
1,P82034,0205051L0AAABAB,56,4,6.18294
2,P82034,0205051L0AAACAC,28,12,10.47075
3,P82034,0205051L0AAACAC,84,1,2.59289
4,P82034,0205051L0AAACAC,56,10,17.32726
5,P82034,0205051L0AAADAD,84,2,5.52236
6,P82034,0205051L0AAADAD,112,4,14.70977
7,P82034,0205051L0AAADAD,56,12,22.13905
8,P82034,0205051L0AAADAD,28,9,8.35794
9,P82034,0205051M0AAAAAA,30,1,0.91931
10,P82034,0205051M0AAAAAA,28,1,0.96321
11,P82034,0205051M0AAAAAA,56,1,1.80468
12,P82034,0205051M0AAABAB,30,3,3.17866
13,P82034,0205051M0AAAFAF,28,2,2.95488
14,P82034,0205051M0AAAFAF,84,1,4.19817
15,P82034,0205051M0AAAFAF,30,1,1.47094
16,P82034,0205051R0AAAAAA,56,2,3.54025
17,P82034,0205051R0AAAAAA,28,4,3.56505
18,P82034,0205051R0AAABAB,28,8,7.42928
19,P82034,0205051R0AAABAB,112,1,3.67744
20,P82034,0205051R0AAABAB,56,4,7.37968
21,P82034,0205051R0AAABAB,84,2,5.52236
22,P82034,0205051R0AAACAC,84,1,2.78923
23,P82034,0205051R0AAACAC,28,20,18.7602
24,P82034,0205051R0AAACAC,56,6,11.18172
25,P82034,0205051R0AAADAD,18,1,0.75752
26,P82034,0205051R0AAADAD,56,9,18.11892
27,P82034,0205051R0AAADAD,84,3,9.04086
28,P82034,0205051R0AAADAD,28,21,21.26894
29,P82034,0205051R0AAAKAK,28,3,3.20671
30,P82034,0205051R0AAAKAK,14,1,0.64533
31,P82034,0205051R0AAAKAK,56,3,6.37623
32,P82034,0205051R0AAALAL,28,5,4.7368
33,P82034,0205051R0AAANAN,56,1,2.10671
34,P82034,0205051R0AAANAN,84,2,6.30773
35,P82034,0205051R0AAANAN,28,3,3.17866
36,P82034,0205052AEAAACAC,56,3,256.85191
37,P82034,0205052B0AAACAC,28,1,4.39736
38,P82034,0205052B0AAACAC,56,1,8.78232
39,P82652,0205052C0AAAAAA,56,3,19.78355
40,P82652,0205052C0AAAAAA,28,14,46.24841
41,P82652,0205052C0AAAAAA,84,1,9.88557
42,P82652,0205052C0AAABAB,84,1,6.8563
43,P82652,0205052C0AAABAB,56,3,13.72501
44,P82652,0205052C0AAABAB,28,13,29.81812
45,P82652,0205052C0AAABAB,7,8,4.6618
46,P82652,0205052C0AAACAC,56,6,11.51831
47,P82652,0205052C0AAACAC,112,2,7.65407
48,P82652,0205052C0AAACAC,28,17,16.423
49,P82652,0205052C0AAACAC,84,3,8.62013
50,P82652,0205052C0AAACAC,7,4,1.42196
51,P82652,0205052C0AAADAD,28,8,9.2992
